,likes,Checkins,Returns,Category,commBase,comm24,comm48,diff2448,baseTime,length,shares,hrs,sun_pub,mon_pub,tue_pub,wed_pub,thu_pub,fri_pub,sat_pub,sun_base,mon_base,tue_base,wed_base,thu_base,fri_base,sat_base,output,baseTime_l
14392,1576517,0,33793.0,14.0,592.0,24,164.0,-140,"(65.0, 72.0]",98,311.0,24,0,0.0,0,0,0.0,0,1,0,0.0,1,0,0,0,0,9,"(65.0, 72.0]"
10273,94905,0,5573.0,18.0,0.0,0,0.0,0,"(21.0, 28.0]",73,1.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,1,0,"(21.0, 28.0]"
40553,1426027,0,8025.0,1.0,1.0,1,0.0,1,"(21.0, 28.0]",44,1.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,0,"(21.0, 28.0]"
25823,246883,15,10884.0,24.0,106.0,106,0.0,106,"(7.0, 14.0]",10,208.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,1,0,0,0,100,"(7.0, 14.0]"
35530,51890,0,4376.0,66.0,19.0,4,15.0,-11,"(42.0, 49.0]",147,3.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,1,0,0,0,"(42.0, 49.0]"
39281,3337470,27805,11736.0,40.0,9.0,5,4.0,1,"(21.0, 28.0]",86,158.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,1,0,0,0,0,"(21.0, 28.0]"
15216,21292,40768,525.0,32.0,3.0,1,2.0,-1,"(49.0, 57.0]",1505,1.0,24,0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,0,0,"(49.0, 57.0]"
36436,297702,148,488.0,55.0,10.0,0,1.0,-1,"(57.0, 65.0]",15,11.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,0,"(57.0, 65.0]"
2988,413095,0,19301.0,24.0,31.0,0,8.0,-8,"(49.0, 57.0]",116,12.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,0,1,0,0,0,"(49.0, 57.0]"
7749,244175,0,15135.0,18.0,55.0,2,53.0,-51,"(42.0, 49.0]",110,3.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0,"(42.0, 49.0]"
13195,2562,0,58.0,24.0,0.0,0,0.0,0,"(7.0, 14.0]",73,1.0,24,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0,"(7.0, 14.0]"
24546,421482,0,77336.0,18.0,324.0,324,0.0,324,"(21.0, 28.0]",272,778.0,24,0,1.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,52,"(21.0, 28.0]"
16524,3316706,2842,9114.0,35.0,0.0,0,0.0,0,"(-1.0, 7.0]",161,2.0,24,1,0.0,0,0,0.0,0,0,1,0.0,0,0,0,0,0,2,"(-1.0, 7.0]"
9666,1872,0,0.0,16.0,0.0,0,0.0,0,"(65.0, 72.0]",115,2.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,0,"(65.0, 72.0]"
27681,5365996,40729,102442.0,9.0,24.0,5,19.0,-14,"(35.0, 42.0]",116,11.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0,"(35.0, 42.0]"
789,1425417,185,84153.0,18.0,21.0,5,16.0,-11,"(35.0, 42.0]",11,28.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,1,"(35.0, 42.0]"
7578,23985,178,2773.0,36.0,3.0,0,2.0,-2,"(42.0, 49.0]",600,22.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,1,0,0,0,"(42.0, 49.0]"
23938,133574,0,22660.0,38.0,18.0,0,9.0,-9,"(49.0, 57.0]",160,5.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0,"(49.0, 57.0]"
32754,3868,0,8.0,18.0,8.0,8,0.0,8,"(14.0, 21.0]",37,6.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,1,0,0,0,2,"(14.0, 21.0]"
39627,1947129,7,242852.0,18.0,167.0,3,97.0,-94,"(49.0, 57.0]",89,791.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,4,"(49.0, 57.0]"
29694,4913787,60,158828.0,9.0,4.0,1,3.0,-2,"(21.0, 28.0]",104,22.0,24,0,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,2,"(21.0, 28.0]"
17195,1726,0,67.0,81.0,3.0,3,0.0,3,"(-1.0, 7.0]",283,6.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,1,0,2,"(-1.0, 7.0]"
27170,1501468,0,50185.0,8.0,45.0,1,5.0,-4,"(49.0, 57.0]",53,29.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0,"(49.0, 57.0]"
13694,13221,0,8.0,76.0,1.0,0,0.0,0,"(57.0, 65.0]",85,1.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0,"(57.0, 65.0]"
16690,309999,28,43647.0,9.0,234.0,9,102.0,-93,"(49.0, 57.0]",197,78.0,24,0,0.0,0,0,0.0,0,1,0,0.0,1,0,0,0,0,1,"(49.0, 57.0]"
3296,3002026,0,77240.0,9.0,19.0,19,0.0,19,"(14.0, 21.0]",86,55.0,24,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,3,"(14.0, 21.0]"
5336,5503253,0,22681.0,14.0,150.0,2,5.0,-3,"(65.0, 72.0]",76,167.0,24,0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,0,2,"(65.0, 72.0]"
478,1552629,0,64641.0,9.0,0.0,0,0.0,0,"(-1.0, 7.0]",23,47.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,1,0,0,22,"(-1.0, 7.0]"
3473,3002026,0,77240.0,9.0,120.0,2,23.0,-21,"(65.0, 72.0]",161,172.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,0,"(65.0, 72.0]"
32280,98168,0,1843.0,36.0,137.0,2,44.0,-42,"(57.0, 65.0]",38,2537.0,24,1,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,1,"(57.0, 65.0]"
34477,236881,1172,36034.0,40.0,2.0,0,0.0,0,"(57.0, 65.0]",53,2.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0,"(57.0, 65.0]"
5038,8189,523,33.0,23.0,0.0,0,0.0,0,"(49.0, 57.0]",116,1.0,24,0,0.0,0,0,0.0,0,1,0,1.0,0,0,0,0,0,0,"(49.0, 57.0]"
5660,115804,0,22.0,46.0,16.0,0,16.0,-16,"(35.0, 42.0]",12,27.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0,"(35.0, 42.0]"
34621,2961175,0,39257.0,9.0,60.0,16,44.0,-28,"(35.0, 42.0]",371,80.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0,"(35.0, 42.0]"
1045,14032442,6,35154.0,20.0,30.0,0,30.0,-30,"(42.0, 49.0]",97,133.0,24,1,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,2,"(42.0, 49.0]"
28038,2001197,0,1053.0,2.0,15.0,1,14.0,-13,"(35.0, 42.0]",229,15.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,0,"(35.0, 42.0]"
29973,8070687,421,278406.0,9.0,108.0,19,89.0,-70,"(28.0, 35.0]",127,378.0,24,0,0.0,0,0,0.0,0,1,0,1.0,0,0,0,0,0,5,"(28.0, 35.0]"
34762,35508,0,795.0,38.0,0.0,0,0.0,0,"(7.0, 14.0]",100,2.0,24,0,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,0,"(7.0, 14.0]"
3276,5093610,0,53479.0,34.0,13.0,13,0.0,13,"(7.0, 14.0]",186,74.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,1,0,0,0,9,"(7.0, 14.0]"
14176,25723,0,3586.0,2.0,10.0,10,0.0,10,"(21.0, 28.0]",114,1.0,24,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,1,"(21.0, 28.0]"
17503,595191,99,1561.0,16.0,38.0,7,31.0,-24,"(35.0, 42.0]",58,42.0,24,0,0.0,0,0,0.0,0,1,0,1.0,0,0,0,0,0,1,"(35.0, 42.0]"
39265,3337470,27805,11736.0,40.0,16.0,16,0.0,16,"(-1.0, 7.0]",142,16.0,24,0,1.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,5,"(-1.0, 7.0]"
29540,4913787,60,158828.0,9.0,43.0,43,0.0,43,"(-1.0, 7.0]",265,17.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,1,0,0,0,51,"(-1.0, 7.0]"
34648,264140,0,7653.0,24.0,44.0,2,4.0,-2,"(65.0, 72.0]",188,18.0,24,0,0.0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,1,"(65.0, 72.0]"
2652,3544586,122388,227617.0,9.0,70.0,12,58.0,-46,"(28.0, 35.0]",88,51.0,10,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,3,"(28.0, 35.0]"
33774,633016,183,168920.0,18.0,2.0,0,1.0,-1,"(49.0, 57.0]",178,2.0,24,0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,0,0,"(49.0, 57.0]"
5340,5503253,0,22681.0,14.0,43.0,1,1.0,0,"(57.0, 65.0]",113,412.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,2,"(57.0, 65.0]"
33465,965964,0,11631.0,9.0,19.0,1,0.0,1,"(65.0, 72.0]",78,48.0,24,0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,0,0,"(65.0, 72.0]"
9236,242526,323,701.0,4.0,0.0,0,0.0,0,"(42.0, 49.0]",285,1.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,1,0,0,0,"(42.0, 49.0]"
32343,98168,0,1843.0,36.0,49.0,17,32.0,-15,"(21.0, 28.0]",49,166.0,24,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0,"(21.0, 28.0]"
12354,3739454,30262,29943.0,9.0,245.0,24,221.0,-197,"(42.0, 49.0]",125,90.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,1,0,0,2,"(42.0, 49.0]"
10896,11426,1,3330.0,8.0,0.0,0,0.0,0,"(65.0, 72.0]",121,2.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,0,1,0,"(65.0, 72.0]"
34866,70695,0,7237.0,18.0,76.0,0,4.0,-4,"(65.0, 72.0]",165,13.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,0,1,0,0,0,"(65.0, 72.0]"
14311,25723,0,3586.0,2.0,40.0,40,0.0,40,"(14.0, 21.0]",156,27.0,24,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0,0,1,3,"(14.0, 21.0]"
482,1552629,0,64641.0,9.0,126.0,3,14.0,-11,"(57.0, 65.0]",258,36.0,24,0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,0,2,"(57.0, 65.0]"
5413,356059,0,27989.0,8.0,48.0,4,22.0,-18,"(49.0, 57.0]",168,11.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,1,0,0,0,"(49.0, 57.0]"
189,3995273,0,297147.0,4.0,493.0,7,51.0,-44,"(65.0, 72.0]",66,316.0,24,1,0.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,1,"(65.0, 72.0]"
11725,911,0,1.0,68.0,2.0,0,2.0,-2,"(35.0, 42.0]",189,3.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,1,"(35.0, 42.0]"
37333,1548,0,581.0,16.0,10.0,1,1.0,0,"(65.0, 72.0]",2282,19.0,24,0,0.0,0,0,0.0,0,1,0,0.0,1,0,0,0,0,1,"(65.0, 72.0]"
4122,420838,148,606.0,39.0,54.0,0,21.0,-21,"(49.0, 57.0]",32,94.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0,"(49.0, 57.0]"
22796,9108,0,35.0,8.0,0.0,0,0.0,0,"(21.0, 28.0]",45,1.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,1,0,0,0,0,"(21.0, 28.0]"
29377,572325,0,27248.0,24.0,75.0,75,0.0,75,"(21.0, 28.0]",107,26.0,24,0,1.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,3,"(21.0, 28.0]"
6877,135564,157,23.0,55.0,1.0,0,0.0,0,"(49.0, 57.0]",80,26.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0,"(49.0, 57.0]"
5595,1441347,0,53288.0,8.0,386.0,386,0.0,386,"(14.0, 21.0]",66,81.0,24,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,73,"(14.0, 21.0]"
2177,329587,0,11271.0,4.0,15.0,0,15.0,-15,"(35.0, 42.0]",92,1.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,1,"(35.0, 42.0]"
15859,7564986,0,123241.0,12.0,0.0,0,0.0,0,"(42.0, 49.0]",157,1.0,24,1,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,"(42.0, 49.0]"
2666,7634,1975,11.0,30.0,0.0,0,0.0,0,"(49.0, 57.0]",128,1.0,24,1,0.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0,"(49.0, 57.0]"
18974,99033,414,1053.0,32.0,4.0,1,1.0,0,"(65.0, 72.0]",490,11.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,0,1,2,"(65.0, 72.0]"
12204,82197,0,3788.0,14.0,0.0,0,0.0,0,"(49.0, 57.0]",280,20.0,24,0,0.0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,0,"(49.0, 57.0]"
11162,175201,0,54849.0,36.0,74.0,16,58.0,-42,"(28.0, 35.0]",36,110.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,1,0,0,0,4,"(28.0, 35.0]"
14573,55520,0,13.0,26.0,3.0,2,1.0,1,"(21.0, 28.0]",48,4.0,24,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0,"(21.0, 28.0]"
30752,562,0,0.0,16.0,0.0,0,0.0,0,"(42.0, 49.0]",15,1.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0,"(42.0, 49.0]"
31592,72615,0,3569.0,14.0,12.0,2,6.0,-4,"(49.0, 57.0]",57,48.0,24,1,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,"(49.0, 57.0]"
5700,115804,0,22.0,46.0,40.0,3,37.0,-34,"(35.0, 42.0]",20,54.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0,"(35.0, 42.0]"
12832,416948,0,57260.0,18.0,32.0,2,9.0,-7,"(49.0, 57.0]",144,15.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0,"(49.0, 57.0]"
693,530,0,0.0,16.0,7.0,0,4.0,-4,"(49.0, 57.0]",38,3.0,24,0,0.0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,0,"(49.0, 57.0]"
32374,98168,0,1843.0,36.0,17.0,0,9.0,-9,"(49.0, 57.0]",66,107.0,24,1,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,"(49.0, 57.0]"
11810,6074,20,225.0,6.0,12.0,12,0.0,12,"(7.0, 14.0]",92,2.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,1,0,0,9,"(7.0, 14.0]"
27212,1501468,0,50185.0,8.0,24.0,24,0.0,24,"(7.0, 14.0]",31,11.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,14,"(7.0, 14.0]"
7025,5480,0,1.0,24.0,6.0,0,4.0,-4,"(42.0, 49.0]",197,2.0,24,1,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,3,"(42.0, 49.0]"
19197,16146,0,1994.0,36.0,9.0,0,3.0,-3,"(57.0, 65.0]",35,137.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0,"(57.0, 65.0]"
32288,98168,0,1843.0,36.0,22.0,8,14.0,-6,"(28.0, 35.0]",37,250.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,1,0,0,0,1,"(28.0, 35.0]"
18949,22402,0,4467.0,18.0,8.0,8,0.0,8,"(14.0, 21.0]",179,2.0,24,1,0.0,0,0,0.0,0,0,1,0.0,0,0,0,0,0,2,"(14.0, 21.0]"
34047,5077,3149,449.0,27.0,1.0,0,1.0,-1,"(28.0, 35.0]",176,1.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,1,0,0,0,"(28.0, 35.0]"
32123,11384,0,226.0,2.0,0.0,0,0.0,0,"(57.0, 65.0]",345,1.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,0,1,0,0,0,"(57.0, 65.0]"
9849,58594,109,498.0,36.0,4.0,0,0.0,0,"(65.0, 72.0]",344,32.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,0,"(65.0, 72.0]"
8688,2071999,156,150355.0,57.0,3.0,3,0.0,3,"(21.0, 28.0]",96,3.0,11,0,0.0,0,1,0.0,0,0,0,0.0,0,0,1,0,0,0,"(21.0, 28.0]"
10832,441554,0,60660.0,4.0,28.0,28,0.0,28,"(14.0, 21.0]",75,18.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,6,"(14.0, 21.0]"
26391,4072,0,601.0,24.0,11.0,11,0.0,11,"(14.0, 21.0]",128,1.0,24,0,1.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,4,"(14.0, 21.0]"
38213,54305,0,4830.0,67.0,0.0,0,0.0,0,"(42.0, 49.0]",858,3.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0,"(42.0, 49.0]"
36084,668834,4,42523.0,9.0,68.0,2,66.0,-64,"(42.0, 49.0]",120,235.0,24,1,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,"(42.0, 49.0]"
31696,2470711,36,271475.0,9.0,326.0,326,0.0,326,"(14.0, 21.0]",102,880.0,24,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,24,"(14.0, 21.0]"
40665,1009493,175714,47503.0,9.0,13.0,0,1.0,-1,"(65.0, 72.0]",62,18.0,24,0,0.0,0,0,0.0,0,1,0,0.0,1,0,0,0,0,0,"(65.0, 72.0]"
32079,11384,0,226.0,2.0,10.0,0,5.0,-5,"(49.0, 57.0]",200,6.0,24,1,0.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0,"(49.0, 57.0]"
12444,19465,0,1578.0,18.0,16.0,6,10.0,-4,"(28.0, 35.0]",9,25.0,24,0,0.0,0,0,0.0,0,1,0,1.0,0,0,0,0,0,2,"(28.0, 35.0]"
10154,4233,0,1005.0,18.0,7.0,2,5.0,-3,"(28.0, 35.0]",33,1.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,1,0,0,0,0,"(28.0, 35.0]"
16943,6109,257,1.0,13.0,0.0,0,0.0,0,"(49.0, 57.0]",36,1.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0,"(49.0, 57.0]"
21555,37149,0,24.0,90.0,9.0,9,0.0,9,"(-1.0, 7.0]",97,4.0,24,0,0.0,1,0,0.0,0,0,0,0.0,1,0,0,0,0,2,"(-1.0, 7.0]"
10910,11426,1,3330.0,8.0,1.0,1,0.0,1,"(14.0, 21.0]",160,1.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,1,0,0,0,"(14.0, 21.0]"
36572,1340759,33935,49392.0,9.0,54.0,5,49.0,-44,"(35.0, 42.0]",168,52.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,1,1,"(35.0, 42.0]"
27206,1501468,0,50185.0,8.0,84.0,26,58.0,-32,"(28.0, 35.0]",11,131.0,24,0,1.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,1,"(28.0, 35.0]"
16470,3316706,2842,9114.0,35.0,2.0,0,0.0,0,"(65.0, 72.0]",111,1.0,24,0,0.0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,0,"(65.0, 72.0]"
13512,66311,600,442.0,75.0,1.0,0,0.0,0,"(65.0, 72.0]",212,3.0,24,0,0.0,0,0,1.0,0,0,1,0.0,0,0,0,0,0,0,"(65.0, 72.0]"
8181,165002,0,25302.0,36.0,68.0,9,59.0,-50,"(28.0, 35.0]",718,82.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0,"(28.0, 35.0]"
13203,2562,0,58.0,24.0,0.0,0,0.0,0,"(65.0, 72.0]",42,1.0,24,1,0.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,0,"(65.0, 72.0]"
37759,22035,0,2310.0,24.0,0.0,0,0.0,0,"(28.0, 35.0]",122,1.0,24,0,1.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,0,"(28.0, 35.0]"
29468,5103,0,173.0,24.0,0.0,0,0.0,0,"(65.0, 72.0]",127,1.0,24,0,0.0,0,0,0.0,0,1,0,0.0,1,0,0,0,0,0,"(65.0, 72.0]"
12062,358398,0,8153.0,18.0,40.0,5,35.0,-30,"(28.0, 35.0]",193,39.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,1,0,0,0,3,"(28.0, 35.0]"
1749,115669,0,745.0,1.0,0.0,0,0.0,0,"(-1.0, 7.0]",150,6.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,1,0,0,6,"(-1.0, 7.0]"
3001,413095,0,19301.0,24.0,11.0,11,0.0,11,"(7.0, 14.0]",150,21.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,3,"(7.0, 14.0]"
38380,23055,0,67.0,36.0,0.0,0,0.0,0,"(-1.0, 7.0]",573,245.0,24,1,0.0,0,0,0.0,0,0,1,0.0,0,0,0,0,0,10,"(-1.0, 7.0]"
16199,3150,0,5.0,80.0,1.0,1,0.0,1,"(14.0, 21.0]",439,2.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,0,"(14.0, 21.0]"
2528,3544586,122388,227617.0,9.0,158.0,9,14.0,-5,"(57.0, 65.0]",131,408.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0,"(57.0, 65.0]"
6569,1422427,0,35610.0,9.0,144.0,144,0.0,144,"(14.0, 21.0]",199,86.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,1,0,0,5,"(14.0, 21.0]"
20472,269481,0,4381.0,38.0,0.0,0,0.0,0,"(65.0, 72.0]",33,5.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,0,0,1,0,0,"(65.0, 72.0]"
28980,129525,0,57099.0,24.0,78.0,12,66.0,-54,"(28.0, 35.0]",90,63.0,24,0,0.0,0,0,0.0,0,1,0,1.0,0,0,0,0,0,1,"(28.0, 35.0]"
40242,1548753,10803,59597.0,9.0,142.0,5,17.0,-12,"(65.0, 72.0]",193,97.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,2,"(65.0, 72.0]"
8405,32745,1559,770.0,32.0,0.0,0,0.0,0,"(21.0, 28.0]",1037,3.0,24,0,1.0,0,0,0.0,0,0,0,0.0,1,0,0,0,0,1,"(21.0, 28.0]"
34111,365591,2096,6531.0,9.0,15.0,0,15.0,-15,"(28.0, 35.0]",129,3.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0,1,0,0,"(28.0, 35.0]"
13405,3159268,0,155474.0,73.0,22.0,4,6.0,-2,"(49.0, 57.0]",181,288.0,24,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,0,0,"(49.0, 57.0]"
36713,640987,0,84288.0,1.0,5.0,0,0.0,0,"(65.0, 72.0]",74,31.0,24,0,0.0,0,0,0.0,1,0,0,1.0,0,0,0,0,0,0,"(65.0, 72.0]"
29960,8070687,421,278406.0,9.0,41.0,41,0.0,41,"(14.0, 21.0]",181,725.0,24,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,1,0,3,"(14.0, 21.0]"
34283,236881,1172,36034.0,40.0,56.0,7,49.0,-42,"(35.0, 42.0]",93,52.0,24,0,0.0,0,0,0.0,0,1,0,1.0,0,0,0,0,0,0,"(35.0, 42.0]"
4982,4290409,11,131422.0,9.0,28.0,28,0.0,28,"(-1.0, 7.0]",218,55.0,24,0,0.0,0,1,0.0,0,0,0,0.0,0,1,0,0,0,57,"(-1.0, 7.0]"
24579,10217,0,2.0,55.0,0.0,0,0.0,0,"(14.0, 21.0]",22,1.0,24,0,0.0,1,0,0.0,0,0,0,0.0,0,1,0,0,0,0,"(14.0, 21.0]"
